Log akses dibuat untuk username : admin (pada 20-05-2014 02:14:03). IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7
[14-10-2014 02:28:25] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[24-10-2014 11:06:02] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[24-10-2014 11:06:30] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[24-10-2014 11:13:11] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[24-10-2014 11:16:01] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[24-10-2014 11:16:37] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[24-10-2014 11:21:59] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[24-10-2014 12:26:34] : LOG IN Sukses. IP : 127.0.0.1, browser : Opera versi : 9.80, OS : linux.
[24-10-2014 02:29:21] : LOG OUT Sukses. IP : 127.0.0.1, browser : Opera versi : 9.80, OS : linux.
[28-10-2014 06:21:35] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[11-11-2014 01:01:35] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[11-11-2014 01:01:43] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[11-11-2014 07:34:00] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[11-11-2014 07:38:32] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[11-11-2014 07:38:38] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[13-11-2014 09:41:44] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[13-11-2014 07:25:23] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[13-11-2014 07:48:35] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[13-11-2014 07:48:41] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[14-11-2014 01:21:17] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[14-11-2014 01:21:42] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[14-11-2014 07:17:22] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[14-11-2014 10:52:21] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[14-11-2014 10:53:27] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[14-11-2014 01:57:29] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[14-11-2014 01:59:49] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 33.0, OS : linux.
[30-03-2015 07:00:00] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 36.0, OS : linux.
[30-03-2015 07:03:14] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 36.0, OS : linux.
[30-03-2015 07:17:25] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 36.0, OS : linux.
[30-03-2015 07:17:28] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 36.0, OS : linux.
[30-03-2015 07:20:09] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 36.0, OS : linux.
[30-03-2015 07:23:24] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 36.0, OS : linux.
[30-03-2015 07:23:28] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 36.0, OS : linux.
[30-03-2015 07:30:29] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 36.0, OS : linux.
[30-03-2015 07:30:33] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 36.0, OS : linux.
[30-03-2015 07:45:11] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 36.0, OS : linux.
[30-03-2015 07:55:38] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 36.0, OS : linux.
[30-03-2015 08:28:30] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 36.0, OS : linux.
[30-03-2015 08:28:38] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 36.0, OS : linux.
[30-03-2015 08:29:19] : LOG OUT Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 36.0, OS : linux.
[30-03-2015 08:32:06] : LOG IN Sukses. IP : 127.0.0.1, browser : Mozilla Firefox versi : 36.0, OS : linux.
